Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
Malaysia,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,60.8,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0.0,0.0,english speaking and nordic
Norway,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,74.4,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,0.0,0.0,english speaking and nordic
Poland,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,96.9,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,0.0,0.0,english speaking and nordic
Portugal,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,8.8,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190,0.0,0.0,southern europe and portuguese heritage
Sweden,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,69.60000000000001,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,114,0.0,0.0,english speaking and nordic
Singapore,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,45.6,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,144,0.0,0.0,english speaking and nordic
Turkey,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,70.4,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113,0.0,0.0,southern europe and portuguese heritage
Taiwan,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,281.4,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600,4,pop,1199.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0.0,1.0,english speaking and nordic
Global,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,78.4,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0.0,0.0,global
USA,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,56.0,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131,0.0,0.0,english speaking and nordic
UK,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,163.8,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,0.0,0.0,english speaking and nordic
Austria,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,102.85,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.0,0.0,english speaking and nordic
Australia,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,35.2,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0.0,0.0,english speaking and nordic
Belgium,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,92.65,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0.0,0.0,english speaking and nordic
Brazil,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,15.2,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0.0,0.0,southern europe and portuguese heritage
Canada,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,47.2,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0.0,0.0,english speaking and nordic
Switzerland,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,33.6,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,0.0,0.0,english speaking and nordic
Colombia,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,45.6,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0.0,0.0,spanish speaking
Spain,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,37.6,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154,0.0,0.0,spanish speaking
Finland,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,47.2,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0.0,0.0,english speaking and nordic
Ireland,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,101.15,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.0,0.0,english speaking and nordic
Italy,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,20.8,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0.0,0.0,southern europe and portuguese heritage
Malaysia,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,4.800000000000002,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0.0,0.0,english speaking and nordic
Netherlands,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,29.6,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0.0,0.0,english speaking and nordic
Norway,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,78.4,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103,0.0,0.0,english speaking and nordic
New Zealand,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,64.0,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0.0,0.0,english speaking and nordic
Poland,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,146.85,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0.0,0.0,english speaking and nordic
Portugal,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,360.85,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,0.0,0.0,southern europe and portuguese heritage
Sweden,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,139.85,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0.0,0.0,english speaking and nordic
Taiwan,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,89.25,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,0.0,0.0,english speaking and nordic
Global,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,244.95,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0.0,0.0,global
USA,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,62.40000000000001,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,0.0,0.0,english speaking and nordic
UK,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,72.8,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,0.0,0.0,english speaking and nordic
